id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_0h30m,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.csv_Day7_1h00m,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_1h30m,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_2h00m,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_3h00m,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
0.csv_Day7_4h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,2.2200000286102295
0.csv_Day7_5h30m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_6h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.009999999776482582
0.csv_Day7_7h30m,0.0,0.009999999776482582,0.0,1.2799999713897705,0.6800000071525574,0.5699999928474426,1.2200000286102295,1.309999942779541,1.809999942779541
0.csv_Day7_8h00m,1.6299999952316284,5.670000076293945,6.900000095367432,7.480000019073486,8.0,9.3100004196167,8.4399995803833,7.800000190734863,9.0600004196167
0.csv_Day7_8h30m,3.0399999618530273,6.760000228881836,11.449999809265137,12.59000015258789,11.4399995803833,11.350000381469727,11.399999618530273,12.989999771118164,14.020000457763672
0.csv_Day7_9h00m,5.320000171661377,10.039999961853027,16.670000076293945,17.079999923706055,18.06999969482422,19.81999969482422,20.200000762939453,20.639999389648438,21.229999542236328
0.csv_Day7_9h30m,6.900000095367432,14.220000267028809,19.079999923706055,19.549999237060547,23.020000457763672,27.56999969482422,27.709999084472656,28.299999237060547,28.06999969482422
0.csv_Day7_10h00m,12.270000457763672,15.619999885559082,20.290000915527344,31.719999313354492,31.479999542236328,34.2400016784668,36.599998474121094,36.63999938964844,37.220001220703125
0.csv_Day7_10h30m,6.840000152587891,18.360000610351562,26.209999084472656,34.54999923706055,40.040000915527344,42.45000076293945,41.939998626708984,42.45000076293945,42.84000015258789
0.csv_Day7_11h00m,20.93000030517578,22.520000457763672,29.489999771118164,34.720001220703125,41.220001220703125,42.84000015258789,43.83000183105469,44.310001373291016,44.41999816894531
0.csv_Day7_11h30m,18.399999618530273,29.950000762939453,30.549999237060547,38.66999816894531,40.65999984741211,42.459999084472656,42.7599983215332,44.95000076293945,45.2400016784668
0.csv_Day7_12h00m,21.040000915527344,29.719999313354492,32.97999954223633,37.72999954223633,41.790000915527344,42.5,44.560001373291016,45.22999954223633,46.09000015258789
