id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_0h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_1h00m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_1h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_2h00m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_3h00m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_4h00m,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
0.csv_Day7_6h00m,-0.0,-0.0,-0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,-0.0,-0.0,-0.0,-0.0,0.11999999731779099,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,-0.0,-0.0,-0.0,1.2400000095367432,1.309999942779541,1.899999976158142,4.340000152587891,3.4100000858306885,9.119999885559082
0.csv_Day7_8h00m,1.149999976158142,1.8799999952316284,2.0199999809265137,3.009999990463257,3.369999885559082,5.730000019073486,10.949999809265137,17.700000762939453,25.959999084472656
0.csv_Day7_8h30m,4.289999961853027,4.03000020980835,6.71999979019165,7.119999885559082,6.619999885559082,7.949999809265137,12.569999694824219,21.139999389648438,29.989999771118164
0.csv_Day7_9h00m,11.850000381469727,19.34000015258789,23.6299991607666,20.510000228881836,20.860000610351562,18.639999389648438,24.610000610351562,30.3700008392334,38.15999984741211
0.csv_Day7_9h30m,17.600000381469727,21.639999389648438,25.600000381469727,23.8799991607666,24.260000228881836,20.639999389648438,24.780000686645508,30.790000915527344,36.369998931884766
0.csv_Day7_10h00m,23.709999084472656,31.649999618530273,31.31999969482422,31.610000610351562,32.810001373291016,32.380001068115234,32.720001220703125,33.290000915527344,35.279998779296875
0.csv_Day7_10h30m,23.18000030517578,32.88999938964844,36.08000183105469,35.040000915527344,35.959999084472656,35.25,34.869998931884766,35.41999816894531,36.5
0.csv_Day7_11h00m,25.719999313354492,34.599998474121094,35.279998779296875,38.099998474121094,38.25,40.290000915527344,40.97999954223633,41.369998931884766,43.29999923706055
0.csv_Day7_11h30m,25.139999389648438,34.34000015258789,30.549999237060547,34.56999969482422,34.0099983215332,35.54999923706055,36.189998626708984,37.959999084472656,40.13999938964844
0.csv_Day7_12h00m,24.950000762939453,33.279998779296875,30.739999771118164,33.369998931884766,31.809999465942383,36.25,35.13999938964844,38.65999984741211,39.86000061035156
