id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_0h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_1h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_1h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_2h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_3h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_4h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_4h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_5h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_6h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_6h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_7h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_7h30m,-0.0,0.05999999865889549,0.8999999761581421,1.2300000190734863,1.4299999475479126,1.940000057220459,2.450000047683716,5.829999923706055,9.84000015258789
0.csv_Day7_8h00m,1.559999942779541,1.9299999475479126,2.809999942779541,2.390000104904175,3.990000009536743,7.599999904632568,10.789999961853027,16.280000686645508,21.770000457763672
0.csv_Day7_8h30m,4.139999866485596,3.7699999809265137,6.579999923706055,5.989999771118164,7.920000076293945,12.260000228881836,14.020000457763672,20.06999969482422,25.920000076293945
0.csv_Day7_9h00m,12.600000381469727,13.25,17.100000381469727,19.270000457763672,19.43000030517578,25.850000381469727,27.360000610351562,29.200000762939453,37.59000015258789
0.csv_Day7_9h30m,16.639999389648438,15.460000038146973,19.100000381469727,22.75,20.84000015258789,26.030000686645508,26.799999237060547,27.670000076293945,35.0
0.csv_Day7_10h00m,22.420000076293945,25.520000457763672,28.56999969482422,31.559999465942383,28.68000030517578,30.59000015258789,31.09000015258789,31.520000457763672,33.43000030517578
0.csv_Day7_10h30m,22.809999465942383,27.420000076293945,28.719999313354492,33.060001373291016,33.2599983215332,34.81999969482422,35.380001068115234,35.04999923706055,36.959999084472656
0.csv_Day7_11h00m,26.670000076293945,29.549999237060547,38.880001068115234,40.279998779296875,36.86000061035156,39.56999969482422,40.11000061035156,38.119998931884766,41.13999938964844
0.csv_Day7_11h30m,25.5,30.389999389648438,36.22999954223633,38.349998474121094,33.20000076293945,35.56999969482422,36.08000183105469,34.400001525878906,40.310001373291016
0.csv_Day7_12h00m,26.540000915527344,30.59000015258789,35.970001220703125,37.9900016784668,31.239999771118164,34.279998779296875,35.36000061035156,32.54999923706055,38.16999816894531
