id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_0h30m,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
0.csv_Day7_2h00m,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.csv_Day7_3h00m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_4h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
0.csv_Day7_5h00m,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_5h30m,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,-0.0,0.0,0.0,-0.0,0.009999999776482582,-0.0,0.0,0.0
0.csv_Day7_6h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.csv_Day7_7h00m,-0.0,0.009999999776482582,0.0,-0.0,-0.0,0.009999999776482582,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.019999999552965164,0.0,0.23999999463558197,0.23000000417232513,0.30000001192092896,1.3799999952316284,1.4199999570846558,2.259999990463257
0.csv_Day7_8h00m,1.2899999618530273,3.6600000858306885,5.989999771118164,6.110000133514404,7.650000095367432,8.050000190734863,7.889999866485596,9.100000381469727,8.739999771118164
0.csv_Day7_8h30m,3.2100000381469727,6.369999885559082,8.4399995803833,9.489999771118164,10.180000305175781,12.729999542236328,12.149999618530273,13.920000076293945,14.6899995803833
0.csv_Day7_9h00m,5.53000020980835,7.320000171661377,10.069999694824219,15.739999771118164,17.399999618530273,19.350000381469727,20.559999465942383,20.850000381469727,23.149999618530273
0.csv_Day7_9h30m,7.820000171661377,9.279999732971191,13.289999961853027,18.6200008392334,23.06999969482422,27.059999465942383,28.56999969482422,28.479999542236328,27.979999542236328
0.csv_Day7_10h00m,10.430000305175781,16.06999969482422,18.1299991607666,22.100000381469727,28.350000381469727,34.66999816894531,34.72999954223633,36.0099983215332,37.29999923706055
0.csv_Day7_10h30m,12.100000381469727,22.010000228881836,28.010000228881836,32.34000015258789,38.560001373291016,40.220001220703125,41.540000915527344,41.27000045776367,42.599998474121094
0.csv_Day7_11h00m,12.199999809265137,24.260000228881836,26.950000762939453,32.380001068115234,36.9900016784668,40.9900016784668,42.86000061035156,43.45000076293945,44.810001373291016
0.csv_Day7_11h30m,17.40999984741211,28.079999923706055,32.650001525878906,35.88999938964844,39.709999084472656,41.2599983215332,42.81999969482422,44.65999984741211,46.88999938964844
0.csv_Day7_12h00m,18.639999389648438,30.059999465942383,33.439998626708984,37.56999969482422,39.18000030517578,40.15999984741211,43.31999969482422,43.84000015258789,47.88999938964844
