id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_0h30m,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
0.csv_Day7_1h30m,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_4h00m,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
0.csv_Day7_5h30m,-0.0,-0.0,-0.0,-0.0,0.009999999776482582,-0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0
0.csv_Day7_6h30m,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.009999999776482582,0.019999999552965164,0.019999999552965164,1.3700000047683716,0.18000000715255737,1.3899999856948853,1.8300000429153442,1.7100000381469727
0.csv_Day7_8h00m,2.619999885559082,4.539999961853027,5.320000171661377,5.650000095367432,5.829999923706055,6.190000057220459,6.210000038146973,6.179999828338623,9.170000076293945
0.csv_Day7_8h30m,1.809999942779541,5.119999885559082,9.760000228881836,10.979999542236328,10.90999984741211,11.3100004196167,13.4399995803833,13.880000114440918,15.40999984741211
0.csv_Day7_9h00m,6.239999771118164,10.84000015258789,17.600000381469727,17.139999389648438,12.739999771118164,18.989999771118164,20.139999389648438,19.329999923706055,21.420000076293945
0.csv_Day7_9h30m,7.340000152587891,11.260000228881836,15.5,19.25,18.989999771118164,56.27000045776367,26.780000686645508,29.600000381469727,28.899999618530273
0.csv_Day7_10h00m,10.399999618530273,14.949999809265137,16.149999618530273,20.739999771118164,32.47999954223633,35.25,36.540000915527344,36.7400016784668,39.099998474121094
0.csv_Day7_10h30m,10.15999984741211,21.190000534057617,26.56999969482422,32.349998474121094,41.06999969482422,41.13999938964844,41.709999084472656,42.20000076293945,46.08000183105469
0.csv_Day7_11h00m,15.9399995803833,25.200000762939453,31.200000762939453,39.41999816894531,44.29999923706055,47.540000915527344,44.02000045776367,48.54999923706055,45.4900016784668
0.csv_Day7_11h30m,18.399999618530273,25.8799991607666,28.110000610351562,37.709999084472656,40.220001220703125,41.54999923706055,42.79999923706055,44.45000076293945,45.47999954223633
0.csv_Day7_12h00m,20.110000610351562,27.030000686645508,35.36000061035156,40.779998779296875,37.68000030517578,36.4900016784668,43.400001525878906,48.349998474121094,51.70000076293945
